,id,key,sex
10731,328,F/328/129766/328-129766-0081,F
9760,374,M/374/180298/374-180298-0048,M
6120,1455,M/1455/134435/1455-134435-0005,M
2227,2007,F/2007/132570/2007-132570-0044,F
19470,6880,M/6880/216547/6880-216547-0017,M
16101,5561,F/5561/41616/5561-41616-0016,F
22987,322,F/322/124147/322-124147-0040,F
7412,7780,F/7780/274562/7780-274562-0005,F
25966,83,F/83/9960/83-9960-0035,F
19798,1970,F/1970/26100/1970-26100-0031,F
11094,3857,M/3857/180923/3857-180923-0003,M
15240,5339,F/5339/14133/5339-14133-0029,F
25601,4267,M/4267/287369/4267-287369-0033,M
25514,2159,M/2159/179157/2159-179157-0003,M
25689,302,F/302/123504/302-123504-0025,F
12941,8095,M/8095/274346/8095-274346-0034,M
24603,8098,M/8098/278252/8098-278252-0037,M
27245,4088,F/4088/158079/4088-158079-0010,F
2299,5867,F/5867/48852/5867-48852-0100,F
4199,4051,F/4051/11217/4051-11217-0018,F
22002,2518,M/2518/154826/2518-154826-0047,M
22377,39,F/39/121914/39-121914-0022,F
8718,4441,M/4441/76263/4441-76263-0034,M
24805,3982,F/3982/178459/3982-178459-0064,F
5798,6836,M/6836/61803/6836-61803-0015,M
26504,27,M/27/124992/27-124992-0070,M
389,2952,M/2952/410/2952-410-0008,M
27937,5393,F/5393/19218/5393-19218-0058,F
25287,6818,F/6818/68772/6818-68772-0042,F
12869,6064,F/6064/300880/6064-300880-0015,F
10176,19,F/19/227/19-227-0066,F
11134,3857,M/3857/182317/3857-182317-0031,M
17947,696,F/696/92939/696-92939-0014,F
18467,8123,F/8123/275216/8123-275216-0037,F
21306,229,M/229/130880/229-130880-0074,M
5025,2384,M/2384/152900/2384-152900-0069,M
27035,2436,M/2436/2477/2436-2477-0016,M
7476,2817,F/2817/142371/2817-142371-0039,F
25262,6818,F/6818/76332/6818-76332-0055,F
5985,1363,F/1363/135842/1363-135842-0049,F
16179,5561,F/5561/39621/5561-39621-0030,F
19919,5750,M/5750/100289/5750-100289-0009,M
17919,2836,F/2836/5355/2836-5355-0001,F
21262,446,M/446/123502/446-123502-0043,M
9648,8797,M/8797/294123/8797-294123-0025,M
18594,4137,F/4137/11701/4137-11701-0045,F
13809,4340,F/4340/15220/4340-15220-0017,F
4608,201,M/201/127786/201-127786-0072,M
13680,7794,F/7794/295947/7794-295947-0046,F
26591,298,F/298/126790/298-126790-0018,F
6921,3214,M/3214/167602/3214-167602-0027,M
23449,4898,M/4898/28461/4898-28461-0003,M
14715,7505,M/7505/258964/7505-258964-0014,M
24477,6000,F/6000/55211/6000-55211-0034,F
5820,6836,M/6836/61803/6836-61803-0040,M
13071,4830,M/4830/25898/4830-25898-0028,M
5242,4640,F/4640/19189/4640-19189-0018,F
22562,4297,F/4297/13009/4297-13009-0037,F
4952,2384,M/2384/152900/2384-152900-0024,M
5424,7190,M/7190/90542/7190-90542-0001,M
7913,6925,M/6925/80680/6925-80680-0046,M
11346,1246,F/1246/124548/1246-124548-0040,F
12381,3983,F/3983/5331/3983-5331-0041,F
9362,1867,M/1867/148436/1867-148436-0044,M
20603,7517,F/7517/100429/7517-100429-0007,F
16651,2196,F/2196/170379/2196-170379-0003,F
17482,32,F/32/21631/32-21631-0001,F
15644,6078,F/6078/54013/6078-54013-0059,F
14295,5049,M/5049/25947/5049-25947-0116,M
7317,7780,F/7780/274562/7780-274562-0105,F
8902,150,F/150/126107/150-126107-0015,F
