,Class,duration,key,salience
2359,street_music,4.0,1/street_music/39970-9-0-142,1
815,drilling,4.0,1/drilling/78360-4-0-18,1
1032,street_music,4.000000000000006,1/street_music/155241-9-0-79,1
8138,street_music,4.0,1/street_music/155044-9-0-19,1
26,jackhammer,4.000000000000006,1/jackhammer/103074-7-4-2,1
2934,engine_idling,4.000000000000002,1/engine_idling/17853-5-0-0,1
808,drilling,4.0,1/drilling/78360-4-0-1,1
4314,street_music,4.0,1/street_music/39968-9-0-181,1
3553,engine_idling,4.0,1/engine_idling/128160-5-0-1,1
8414,air_conditioner,4.0,1/air_conditioner/189989-0-0-2,1
5876,air_conditioner,4.0,1/air_conditioner/204240-0-0-25,1
6869,street_music,4.0,1/street_music/36264-9-0-5,1
2673,air_conditioner,4.0,1/air_conditioner/13230-0-0-11,1
4128,jackhammer,4.0,1/jackhammer/22883-7-43-2,1
1127,jackhammer,4.0,1/jackhammer/162134-7-14-1,1
8055,gun_shot,3.2520620000000005,1/gun_shot/136399-6-2-0,1
2358,street_music,4.0,1/street_music/39970-9-0-108,1
2151,air_conditioner,4.0,1/air_conditioner/189023-0-0-3,1
1761,engine_idling,3.9999999999999987,1/engine_idling/106015-5-0-5,1
7232,jackhammer,4.0,1/jackhammer/125678-7-2-5,1
803,street_music,4.0,1/street_music/77766-9-0-4,1
5756,drilling,4.0,1/drilling/166931-4-4-0,1
368,gun_shot,2.093782,1/gun_shot/174290-6-0-0,1
7258,street_music,4.0,1/street_music/126153-9-0-6,1
2596,street_music,4.0,1/street_music/98202-9-1-27,1
7042,jackhammer,4.0,1/jackhammer/77751-7-9-2,1
4888,engine_idling,4.0,1/engine_idling/17578-5-0-21,1
4122,jackhammer,4.0,1/jackhammer/22883-7-36-1,1
6995,drilling,4.0,1/drilling/71529-4-0-0,1
4630,engine_idling,4.0,1/engine_idling/106487-5-0-1,1
5278,drilling,4.0,1/drilling/71171-4-1-5,1
2852,jackhammer,4.0,1/jackhammer/165039-7-15-0,1
3375,drilling,4.0,1/drilling/63095-4-1-19,1
